"a 丫
ko 膏
kon 氣
kule 色
kulupu 眾
kute 聽
la 也
lape 寐
laso 青
lawa 主
len 衣
lete 寒
li 者
lili 小
linja 絲
lipu 葉
loje 赤
lon 在
luka 手
lukin 見
lupa 穴
ma 邦
mama 親
mani 金
meli 女
mi 吾
mije 男
moku 食
moli 死
monsi 後
mu 牟
mun 月
musi 樂
mute 多
nanpa 數
nasa 愚
nasin 道
nena 山
ni 此
nimi 名
noka 足
o 於
olin 愛
ona 彼
open 開
pakala 敗
pali 作
palisa 杖
pan 米
pana 施
pi 之
pilin 感
pimeja 黑
pini 竟
pipi 蟲
poka 傍
poki 皿
pona 善
pu 經
sama 如
seli 溫
selo 皮
seme 何
sewi 上
sijelo 身
sike 圓
sin 新
sina 汝
sinpin 壁
sitelen 書
sona 知
soweli 畜
suli 大
suno 日
supa 牀
suwi 甘
tan 由
taso 但
tawa 于
telo 水
tenpo 時
toki 言
tomo 家
tu 二
unpa 媾
uta 口
utala 鬭
walo 白
wan 一
waso 鳥
wawa 強
weka 去
wile 欲
kin 亦
namako 益
oko 目
epiku 雄
jasima 反
kijete­san­takalu 鼬
kipisi 切
kokosila 鰐
ku 典
lanpan 取
leko 方
meso 央
misikeke 醫
monsuta 鬼
n 焉
soko 菌
tonsi 中
apeja 罪
ete 超
ewe 巖
isipin 思
---
a 啊
akesi 龟
ala 不
ale 全
ali 全
anpa 下
ante 变
anu 或
awen 守
e 把
en 又
ijo 事
ike 歹
ilo 匕
insa 内
jaki 污
jan 人
jelo 黄
jo 有
kala 鱼
kalama 音
kama 到
kasi 木
ken 能
kepeken 用
kili 果
kiwen 石
ko 膏
kon 气
kule 色
kulupu 组
kute 耳
la 喇
lape 觉
laso 青
lawa 首
len 巾
lete 冰
li 哩
lili 小
linja 糸
lipu 叶
loje 红
lon 在
luka 手
lukin 看
lukin 见
lupa 孔
ma 土
mama 母
mani 元
mani 贝
meli 女
mi 我
mije 男
moku 菜
moli 死
monsi 后
mu 吽
mun 月
musi 玩
mute 大
nanpa 个
nasa 怪
nasin 道
nena 山
ni 这
nimi 名
noka 足
o 令
olin 爱
ona 他
open 开
pakala 打
pali 工
palisa 支
pan 米
pana 给
pi 的
pilin 想
pilin 心
pimeja 黑
pini 末
pipi 虫
poka 旁
poki 包
pona 好
sama 同
seli 火
selo 甲
seme 什
sewi 上
sijelo 身
sike 回
sin 新
sina 你
sinpin 前
sitelen 画
sona 知
soweli 牛
soweli 马
suli 高
suno 日
suno 光
supa 张
suwi 甜
tan 从
taso 只
tawa 去
telo 水
tenpo 时
toki 言
tomo 穴
tu 二
unpa 性
uta 口
utala 战
utala 斗
walo 白
wan 一
waso 鸟
wawa 力
weka 脱
wile 要
kin 也
oko 目
---
a あ
akesi 獣
ala 無
alasa 探
ale 全
ali 全
anpa 下
ante 变
anu ぬ
awen 待
e え
en ん
esun 市
ijo 物
ike 悪
ilo 具
insa 内
jaki 汚
jan 人
jelo 黄
jo 有
kalama 音
kama 来
kasi 木
ken 能
kepeken 使
kili 果
kiwen 石
ko 粉
kon 空
kule 色
kulupu 群
kute 聞
la ら
lape 眠
laso 青
lawa 首
len 布
lete 冷
li り
lili 小
linja 糸
lipu 葉
loje 赤
lon 在
luka 手
lukin 見
lupa 穴
ma 土
mama 母
mani 貝
meli 女
mi 私
mije 男
moku 食
moli 死
monsi 後
mu む
mun 月
musi 楽
mute 多
nanpa 番
nasa 狂
nasin 道
nena 丘
ni 此
nimi 称
noka 足
o お
olin 愛
ona 彼
open 開
pakala 打
pali 作
palisa 棒
pan 米
pana 授
pi ぴ
pilin 心
pimeja 黒
pini 終
pipi 虫
poka 側
poki 箱
pona 良
sama 同
seli 火
selo 皮
seme 何
sewi 上
sijelo 体
sike 丸
sin 新
sina 君
sinpin 前
sitelen 画
sona 知
soweli 猫
suli 大
suno 日
supa 面
suwi 甜
tan 因
taso 許
tawa 去
telo 水
tenpo 时
toki 言
tomo 家
tu 二
unpa 盛
uta 口
utala 戦
walo 白
wan 一
waso 鳥
wawa 力
weka 遥
wile 要
kin 又
namako 冗
oko 目
kipisi 切
---
a 啊
akesi 龟
ala 不
ale 全
ali 全
anpa 下
ante 变
anu 或
awen 守
e 把
en 又
ijo 事
ike 歹
ilo 匕
insa 内
jaki 污
jaki 汙
jan 人
jelo 黄
jo 有
kala 魚
kala 鱼
kalama 音
kama 到
kasi 木
ken 能
kepeken 用
kili 果
kiwen 石
ko 膏
kon 气
kule 色
kulupu 组
kute 耳
la 喇
lape 觉
laso 青
lawa 首
len 巾
lete 冰
li 哩
lili 小
linja 糸
lipu 叶
loje 红
lon 在
luka 手
lukin 看
lukin 见
lupa 孔
ma 土
mama 母
mani 元
mani 贝
meli 女
mi 我
mije 男
moku 菜
moli 死
monsi 后
mu 吽
mun 月
musi 玩
mute 大
nanpa 个
nasa 怪
nasin 道
nena 山
ni 这
nimi 名
noka 足
o 令
olin 爱
ona 他
open 开
pakala 打
pali 工
palisa 支
pan 米
pana 给
pi 的
pilin 想
pilin 心
pimeja 黑
pini 末
pipi 虫
poka 旁
poki 包
pona 好
sama 同
seli 火
selo 甲
seme 什
sewi 上
sijelo 身
sike 回
sin 新
sina 你
sinpin 前
sitelen 画
sona 知
soweli 马
soweli 牛
suli 高
suno 日
suno 光
supa 张
suwi 甜
tan 从
taso 只
tawa 去
telo 水
tenpo 时
toki 言
tomo 穴
tu 二
unpa 性
uta 口
utala 战
utala 斗
walo 白
wan 一
waso 鸟
wawa 力
weka 脱
wile 要
kin 也
oko 目
---
a 啊
akesi 龍
ala 勿
alasa 集
ale 全
ali 全
anpa 下
ante 差
anu 或
awen 等
e 作
en 與
esun 市
ijo 物
ike 惡
ilo 具
insa 內
jaki 污
jan 人
jelo 黃
jo 有
kala 魚
kalama 音
kama 來
kasi 木
ken 能
kepeken 用
kili 果
kiwen 石
ko 粉
kon 空
kule 色
kulupu 眾
kute 耳
la 則
lape 眠
laso 青
lawa 首
len 布
lete 冷
li 是
lili 小
linja 絲
lipu 小
loje 紅
lon 於
luka 手
lukin 見
ma 土
mama 亲
mani 錢
meli 女
mi 我
mije 男
moku 食
moli 死
monsi 後
mu 哞
mun 月
musi 樂
mute 多
nanpa 数
nasa 怪
nasin 道
nena 山
ni 此
nimi 名
noka 足
o 令
olin 愛
ona 其
open 開
pakala 打
pali 工
palisa 棒
pan 打
pana 予
pi 之
pilin 心
pimeja 黑
pini 末
pipi 虫
poka 側
poki 包
pona 好
sama 同
seli 火
selo 外
seme 什
sijelo 身
sike 圓
sin 新
sina 你
sinpin 前
sitelen 畫
sona 知
soweli 犬
suli 大
suno 日
supa 面
tan 因
taso 只
tawa 去
telo 水
tenpo 时
toki 言
tomo 室
tu 二
unpa 盛
uta 口
utala 戰
walo 白
wan 一
waso 鳥
wawa 力
weka 缺
wile 要
kin 亦
namako 冗
oko 目
kipisi 切
---
ante 异
e 着
en 和
esun 市
ijo 物
ike 坏
ilo 具
kasi 植
kute 听
la 啦
lape 眠
lete 冷
li 又
linja 线
lipu 纸
lipu 页
mani 钱
moku 食
mu 咪
mu 喵
mute 多
nanpa 数
nanpa 第
o 哎
o 请
pakala 破
pali 作
palisa 棍
palisa 杖
palisa 竿
selo 皮
seme 何
sijelo 体
sike 圆
sike 圈
suli 大
tan 由
tawa 到
tomo 房
unpa 性
utala 斗
namako 余
---
a 矣
akesi 蜥
ala 非
alasa 獵
ale 凡
ali 凡
anpa 下
ante 異
anu 或
awen 續
e 于
en 與
esun 易
ijo 物
ike 歹
ilo 器
insa 中
jaki 穢
jan 人
jelo 黃
jo 有
kala 魚
kalama 音
kama 至
kasi 木
ken 可
kepeken 以
kili 果
kiwen 石
ko 塵
kon 空
kule 色
kulupu 合
kute 耳
la 而
lape 眠
laso 青
lawa 首
len 衣
lete 寒
li 則
lili 小
linja 絲
lipu 頁
loje 紅
lon 在
luka 手
lukin 目
lupa 孔
ma 地
mama 祖
mani 錢
meli 女
mi 吾
mije 男
moku 食
moli 死
monsi 背
mu 鳴
mun 月
musi 悅
mute 衆
nanpa 數
nasa 迷
nasin 道
nena 出
ni 此
nimi 字
noka 足
o 兮
olin 愛
ona 其
open 始
pakala 損
pali 爲
palisa 枝
pan 穀
pana 予
pi 之
pilin 感
pimeja 黑
pini 終
pipi 蟲
poka 近
poki 容
pona 善
pu 經
sama 似
seli 火
selo 膚
seme 何
sewi 上
sijelo 形
sike 圓
sin 新
sina 汝
sinpin 前
sitelen 文
sona 知
soweli 獸
suli 大
suno 日
supa 案
suwi 甘
tan 自
taso 獨
tawa 往
telo 水
tenpo 時
toki 言
tomo 室
tu 二
unpa 交
uta 口
utala 鬥
walo 白
wan 一
waso 鳥
wawa 威
weka 遠
wile 欲
kin 矣
namako 新
oko 目
---
a 阿
akesi 兽
ala 不
alasa 觅
ale 丰
ale 全
ali 丰
ali 全
anpa 下
ante 变
anu 又
awen 保
e 向
en 并
esun 店
ijo 事
ike 歹
ilo 具
insa 中
jaki 丑
jan 人
jelo 黄
jo 有
kala 鱼
kalama 申
kama 至
kasi 艸
ken 可
kepeken 用
kili 果
kiwen 石
ko 尘
kon 气
kule 色
kulupu 团
kute 耳
la 以
lape 休
laso 青
lawa 主
len 布
lete 仌
li 为
lili 小
linja 毛
lipu 片
loje 丹
lon 在
luka 手
lukin 目
lupa 孔
ma 土
mama 守
mani 币
meli 女
mi 己
mije 男
moku 食
moli 死
monsi 后
mu 声
mun 月
musi 乐
mute 多
nanpa 第
nasa 异
nasin 道
nena 山
ni 个
nimi 字
noka 足
o 区
olin 爱
ona 其
open 开
pakala 改
pali 作
palisa 条
pan 禾
pana 发
pi 之
pilin 心
pimeja 黑
pini 了
pipi 虫
poka 边
poki 包
pona 良
pu 书
sama 同
seli 火
selo 外
seme 什
sewi 上
sijelo 身
sike 回
sin 生
sina 尔
sinpin 前
sitelen 画
sona 知
soweli 畜
suli 大
suno 日
supa 面
suwi 甘
tan 因
taso 但
tawa 于
telo 水
tenpo 时
toki 言
tomo 居
tu 二
unpa 合
uta 口
utala 竞
walo 白
wan 一
waso 鸟
wawa 力
weka 离
wile 要
kin 亦
namako 加
oko 见
---
a 忄
akesi 乃
ala 乄
alasa 凥
ale 亖
ali 亖
anpa 丅
ante 卝
anu 丫
awen 仄
e 冫
en 十
esun 品
ijo 口
ike 必
ilo 尸
insa 内
jaki 亽
jan 人
jelo 昌
jo 冋
kala 只
kalama 仒
kama 們
kasi 山
ken 历
kepeken 戸
kili 可
kiwen 吕
ko 吅
kon 彡
kule 早
kulupu 仨
kute 区
la 丿
lape 仅
laso 旵
lawa 佃
len 爪
lete 肉
li 乛
lili 丶
linja 乀
lipu 冃
loje 旦
lon 亼
luka 卌
lukin 目
lupa 門
ma 田
mama 囚
mani 叉
meli 伈
mi 乆
mije 仂
moku 叵
moli 网
monsi 凣
mu 弓
mun 昍
musi 灳
mute 三
nanpa 井
nasa 㔾
nasin 八
nena 凸
ni 听
nimi 吝
noka 儿
o 忇
olin 怂
ona 亻
open 冂
pakala 中
pali 尺
palisa 亅
pan 扌
pana 叭
pi 丨
pilin 心
pimeja 昃
pini 冄
pipi 非
poka 双
poki 凵
pona 火
pu 忟
sama 卄
seli 义
selo 风
seme 凶
sewi 丄
sijelo 几
sike 回
sin 古
sina 从
sinpin 凡
sitelen 文
sona 眍
soweli 勿
suli 大
suno 日
supa 又
suwi 炎
tan 巛
taso 亠
tawa 仈
telo 川
tenpo 旬
toki 斤
tomo 囗
tu 二
unpa 仌
uta 匚
utala 父
walo 旲
wan 一
waso 乐
wawa 力
weka 冈
wile 吢
kin 另
namako 灬
oko 目
---
a 啊
akesi 蜥
ala 不
alasa 狩
ale 皆
ali 皆
anpa 下
ante 違
anu 或
awen 待
e え
en 和
esun 店
ijo 物
ike 悪
ilo 具
insa 内
jaki 汚
jan 人
jelo 黄
jo 有
kala 魚
kalama 音
kama 来
kasi 植
ken 会
kepeken 使
kili 果
kiwen 石
ko 泥
kon 空
kule 色
kulupu 群
kute 耳
la ら
lape 眠
laso 青
lawa 頭
len 布
lete 冷
li り
lili 小
linja 排
lipu 枚
loje 赤
lon 在
luka 手
lukin 見
lupa 穴
ma 地
mama 親
mani 钱
meli 女
mi 私
mije 男
moku 食
moli 死
monsi 後
mu む
mun 月
musi 楽
mute 多
nanpa 数
nasa 変
nasin 方
nena 山
ni 個
nimi 名
noka 足
o お
olin 愛
ona 它
open 開
pakala 壊
pali 為
palisa 棒
pan 麦
pana 呉
pi 之
pilin 心
pimeja 黒
pini 終
pipi 虫
poka 近
poki 箱
pona 良
pu プ
sama 同
seli 火
selo 皮
seme 何
sewi 上
sijelo 体
sike 〇
sin 新
sina 你
sinpin 面
sitelen 字
sona 知
soweli 獣
suli 大
suno 日
supa 横
suwi 甘
tan 元
taso 但
tawa 行
telo 水
tenpo 時
toki 言
tomo 屋
tu 二
unpa 操
uta 口
utala 戦
walo 白
wan 一
waso 鳥
wawa 力
weka 捨
wile 要
kin 又
namako 辛
oko 目
kipisi 切
monsuta 化
tonsi 無
---
a 阿
akesi 龍
ala 不
alasa 集
ale 全
ali 全
anpa 下
ante 異
anu 或
awen 待
e 夷
e 兮
en 與
esun 市
ijo 物
ike 惡
ilo 具
insa 內
jaki 汚
jan 人
jelo 黃
jo 有
kala 魚
kalama 音
kama 來
kasi 草
ken 能
kepeken 用
kili 果
kiwen 石
ko 膏
kon 氣
kule 色
kulupu 群
kute 耳
la 羅
lape 眠
laso 靑
lawa 首
len 布
lete 冷
li 利
lili 小
linja 糸
lipu 葉
loje 赤
lon 在
luka 手
lukin 見
lupa 孔
ma 土
mama 母
mani 貝
meli 女
mi 我
mije 男
moku 食
moli 死
monsi 後
mu 牟
mun 月
musi 樂
mute 多
nanpa 第
nasa 奇
nasin 道
nena 山
ni 此
nimi 名
noka 足
o 嗚
olin 愛
ona 彼
open 開
pakala 破
pali 作
palisa 枝
pan 米
pana 授
pi 之
pilin 心
pimeja 黑
pini 終
pipi 虫
poka 旁
poki 箱
pona 良
pu 樸
sama 同
seli 火
selo 皮
seme 何
sewi 上
sijelo 身
sike 圓
sin 新
sina 汝
sinpin 前
sitelen 畵
sona 知
soweli 獸
suli 大
suno 日
suwi 甘
tan 由
taso 只
tawa 去
telo 水
tenpo 時
toki 言
tomo 家
tu 二
unpa 性
uta 口
utala 戰
walo 白
wan 一
waso 鳥
wawa 力
weka 脫
wile 要
kin 又
oko 目
kijete­san­takalu 鼬
tonsi 志
---
a 啊
akesi 蜴
ala 不
alasa 狩
ale 全
ali 全
anpa 下
ante 变
anu ∨
awen 待
e ⟫
en +
esun 店
ijo 事
ike 歹
ilo 具
insa 内
jaki 汚
jan 人
jelo 黄
jo 有
kala 魚
kalama 音
kama 来
kasi 木
ken 可
kepeken 用
kili 果
kiwen 石
ko 糊
kon 气
kule 色
kulupu 群
kute 耳
la ⊃
lape 休
laso 青
lawa 主
len 布
lete 冷
li ⟩
lili 小
linja 糸
lipu 片
loje 赤
lon 在
luka 手
lukin 見
lupa 穴
ma 土
mama 母
mani 金
meli 女
mi 己
mije 男
moku 食
moli 死
monsi 後
mu 吽
mun 月
musi 笑
mute 多
nanpa 第
nasa 怪
nasin 道
nena 山
ni 此
nimi 名
noka 足
o 令
olin 愛
ona 彼
open 开
pakala 破
pali 作
palisa 杖
pan 禾
pana 与
pi π
pilin 心
pimeja 暗
pini 了
pipi 虫
poka 側
poki 包
pona 良
pu 聖
sama 同
seli 火
selo 皮
seme 何
sewi 上
sijelo 身
sike 回
sin 新
sina 友
sinpin 前
sitelen 画
sona 知
soweli 猫
suli 大
suno 日
supa 面
suwi 甘
tan 由
taso 但
tawa 行
telo 水
tenpo 時
toki 言
tomo 居
tu 二
unpa 性
uta 口
utala 攻
walo 白
wan 一
waso 鳥
wawa 力
weka 遥
wile 要
kin 実
namako 加
oko 目
kipisi 刻
---
a 啊
akesi 龍
ala 不
alasa 集
ale 全
ali 全
anpa 下
ante 化
anu 或
awen 留
e 向
esun 商
ijo 物
ike 惡
ilo 器
insa 內
jaki 汚
jan 人
jelo 黃
jo 有
kala 魚
kalama 音
kama 來
kasi 木
ken 可
kepeken 用
kili 果
kiwen 石
ko 粉
kon 風
kule 色
kulupu 社
kute 聞
la 主
lape 眠
laso 青
lawa 首
len 衣
lete 冷
li 始
lili 小
linja 絲
lipu 片
loje 赤
lon 在
luka 手
lukin 見
lupa 空
ma 土
mama 母
mani 金
meli 女
mi 我
mije 男
moku 食
moli 死
monsi 後
mu 鳴
mun 月
musi 樂
mute 多
nanpa 號
nasa 狂
nasin 法
nena 山
ni 那
nimi 名
noka 足
o 叫
olin 愛
ona 他
open 開
pakala 破
pali 工
palisa 枝
pan 米
pana 給
pi 之
pilin 情
pimeja 黑
pini 未
pipi 虫
poka 跟
poki 箱
pona 好
pu 書
sama 同
seli 火
selo 外
seme 何
sewi 上
sijelo 体
sike 円
sin 新
sina 你
sinpin 前
sitelen 画
sona 知
soweli 犬
suli 大
suno 光
suno 日
supa 地
suwi 甘
tan 本
taso 只
tawa 去
telo 水
tenpo 時
toki 言
tomo 家
tu 二
unpa 肏
uta 口
utala 斗
walo 白
wan 一
waso 鳥
wawa 氣
weka 丟
wile 要
kin 也
namako 添
oko 目
kipisi 斷
---
a 亞
akesi 龟
ala 不
alasa 弓
ale 凡
ali 凡
anpa 下
ante 另
anu 或
awen 守
e 个
en 又
esun 市
ijo 品
ike 歹
ilo 具
insa 入
jaki 污
jan 人
jelo 黄
jo 有
kala 鱼
kalama 音
kama 至
kasi 木
ken 可
kepeken 用
kili 果
kiwen 石
ko 高
kon 气
kule 色
kulupu 共
kute 耳
la 然
lape 平
laso 青
lawa 首
len 巾
lete 仌
li 刂
lili 小
linja 糸
lipu 叶
loje 朱
lon 在
luka 手
lukin 见
lupa 门
ma 土
mama 父
mani 元
meli 女
mi 吾
mije 男
moku 食
moli 亡
monsi 后
mu 吽
mun 月
musi 乐
mute 多
nanpa 井
nasa 酉
nasin 辶
nena 山
ni 尼
nimi 名
noka 足
o 令
olin 爱
ona 佢
open 开
pakala 列
pali 工
palisa 支
pan 米
pana 予
pi 之
pilin 心
pimeja 玄
pini 了
pipi 虫
poka 边
poki 皿
pona 良
pu 經
sama 同
seli 火
selo 外
seme 什
sewi 上
sijelo 身
sike 年
sin 新
sina 尔
sinpin 前
sitelen 字
sona 知
soweli 牛
suli 大
suno 日
supa 丌
suwi 甘
tan 从
taso 只
tawa 去
telo 水
tenpo 时
toki 言
tomo 穴
tu 二
unpa 交
uta 口
utala 戈
walo 白
wan 一
waso 鸟
wawa 力
weka 丟
wile 要
kin 也
namako 辛
oko 目
epiku 正
jasima 反
kijete­san­takalu 鼬
kipisi 分
kokosila 異
ku 典
lanpan 匪
leko 方
meso 中
misikeke 丸
monsuta 凶
n 嗯
soko 古
tonsi 志
apeja 丑
ete 超
ewe 岩
isipin 思
kalamARR 盜
---
a 阿
akesi 龍
ala 不
alasa 集
ale 全
ali 全
anpa 下
ante 異
anu 或
awen 待
e 兮
en 與
esun 市
ijo 物
ike 惡
ilo 具
insa 內
jaki 汚
jan 人
jelo 黃
jo 有
kala 魚
kalama 音
kama 來
kasi 草
ken 能
kepeken 用
kili 果
kiwen 石
ko 膏
kon 氣
kule 色
kulupu 群
kute 耳
la 羅
lape 眠
laso 靑
lawa 首
len 布
lete 冷
li 利
lili 小
linja 絲
lipu 葉
loje 赤
lon 在
luka 手
lukin 見
lupa 孔
ma 土
mama 母
mani 貝
meli 女
mi 我
mije 男
moku 食
moli 死
monsi 後
mu 牟
mun 月
musi 樂
mute 多
nanpa 第
nasa 奇
nasin 道
nena 山
ni 此
nimi 名
noka 足
o 嗚
olin 愛
ona 彼
open 開
pakala 破
pali 作
palisa 枝
pan 米
pana 授
pi 之
pilin 心
pimeja 黑
pini 終
pipi 虫
poka 旁
poki 箱
pona 良
pu 樸
sama 同
seli 火
selo 皮
seme 何
sewi 上
sijelo 身
sike 圓
sin 新
sina 汝
sinpin 前
sitelen 畵
sona 知
soweli 獸
suli 大
suno 日
supa 丌
suwi 甘
tan 由
taso 只
tawa 去
telo 水
tenpo 時
toki 言
tomo 家
tu 二
unpa 性
uta 口
utala 戰
walo 白
wan 一
waso 鳥
wawa 力
weka 脫
wile 要
kin 又
namako 鹽
oko 目
epiku 傳
jasima 反
kijete­san­takalu 鼬
kipisi 切
kokosila 鱷
ku 叴
lanpan 取
leko 甓
meso 中
misikeke 藥
monsuta 鬼
n 焉
soko 蕈
tonsi 志
apeja 恥
isipin 思
---
a 啊
a 阿
a 丫
a 吁
a あ
a 矣
a 忄
a 亞
akesi 龍
akesi 龟
akesi 蜥
akesi 虺
akesi 獸
akesi 獣
akesi 兽
akesi 乃
akesi 蜴
ala 不
ala 非
ala 無
ala 无
ala 勿
ala 乄
alasa 集
alasa 狩
alasa 田
alasa 探
alasa 獵
alasa 觅
alasa 凥
alasa 弓
ale 全
ale 凡
ale 皆
ale 凣
ale 丰
ale 亖
ali 全
ali 凡
ali 皆
ali 凣
ali 丰
ali 亖
anpa 下
anpa 丅
ante 变
ante 異
ante 异
ante 差
ante 卝
ante 違
ante 化
ante 另
anu 或
anu 若
anu ぬ
anu 又
anu 丫
anu ∨
awen 待
awen 守
awen 止
awen 俟
awen 等
awen 續
awen 保
awen 仄
awen 留
e 乎
e 把
e え
e 向
e 兮
e 作
e 着
e 于
e 冫
e 夷
e ⟫
e 个
en 與
en 又
en 和
en 与
en 及
en ん
en 并
en 十
en +
esun 市
esun 店
esun 易
esun 品
esun 商
ijo 物
ijo 事
ijo 什
ijo 口
ijo 品
ike 歹
ike 惡
ike 悪
ike 坏
ike 必
ilo 具
ilo 器
ilo 匕
ilo 仪
ilo 尸
insa 内
insa 內
insa 中
insa 入
jaki 汚
jaki 污
jaki 丑
jaki 汙
jaki 穢
jaki 亽
jan 人
jelo 黄
jelo 黃
jelo 昌
jo 有
jo 冋
kala 魚
kala 鱼
kala 泩
kala 只
kalama 音
kalama 声
kalama 申
kalama 仒
kama 來
kama 至
kama 来
kama 到
kama 們
kasi 木
kasi 草
kasi 植
kasi 艸
kasi 山
ken 能
ken 可
ken 历
ken 会
kepeken 用
kepeken 以
kepeken 使
kepeken 戸
kili 果
kili 可
kiwen 石
kiwen 吕
ko 膏
ko 粉
ko 塵
ko 尘
ko 吅
ko 泥
ko 糊
ko 高
kon 空
kon 气
kon 氣
kon 彡
kon 風
kule 色
kule 早
kulupu 群
kulupu 团
kulupu 眾
kulupu 组
kulupu 区
kulupu 合
kulupu 仨
kulupu 社
kulupu 共
kute 耳
kute 听
kute 聞
kute 聽
kute 区
la 喇
la ら
la 羅
la 时
la 也
la 則
la 啦
la 而
la 以
la 丿
la ⊃
la 主
la 然
lape 眠
lape 觉
lape 休
lape 困
lape 寐
lape 仅
lape 平
laso 青
laso 靑
laso 兰
laso 旵
lawa 首
lawa 主
lawa 佃
lawa 頭
len 布
len 衣
len 巾
len 爪
lete 冷
lete 冰
lete 寒
lete 仌
lete 肉
li 哩
li り
li 利
li 兮
li 者
li 是
li 又
li 則
li 为
li 乛
li ⟩
li 始
li 刂
lili 小
lili 丶
linja 糸
linja 絲
linja 丝
linja 线
linja 毛
linja 乀
linja 排
lipu 葉
lipu 叶
lipu 片
lipu 页
lipu 小
lipu 纸
lipu 頁
lipu 冃
lipu 枚
loje 赤
loje 丹
loje 红
loje 紅
loje 旦
loje 朱
lon 在
lon 于
lon 於
lon 亼
luka 手
luka 五
luka 又
luka 卌
lukin 見
lukin 见
lukin 目
lukin 看
lukin 视
lupa 孔
lupa 穴
lupa 門
lupa 空
lupa 门
ma 土
ma 地
ma 邦
ma 田
mama 母
mama 亲
mama 親
mama 祖
mama 守
mama 囚
mama 父
mani 金
mani 元
mani 貝
mani 贝
mani 錢
mani 钱
mani 币布
mani 币
mani 叉
meli 女
meli 伈
mi 我
mi 吾
mi 私
mi 己
mi 乆
mije 男
mije 仂
moku 食
moku 菜
moku 叵
moli 死
moli 亡
moli 网
monsi 後
monsi 后
monsi 背
monsi 凣
mu 吽
mu 牟
mu む
mu 鳴
mu 叫
mu 哞
mu 咪
mu 喵
mu 声
mu 弓
mun 月
mun 昍
musi 樂
musi 乐
musi 玩
musi 楽
musi 悅
musi 灳
musi 笑
mute 多
mute 大
mute 々
mute 衆
mute 三
nanpa 第
nanpa 数
nanpa 數
nanpa 个
nanpa 井
nanpa 番
nanpa 號
nasa 怪
nasa 狂
nasa 奇
nasa 愚
nasa 迷
nasa 异
nasa 㔾
nasa 変
nasa 酉
nasin 道
nasin 八
nasin 方
nasin 法
nasin 辶
nena 山
nena 击
nena 丘
nena 出
nena 凸
ni 此
ni 这
ni 名
ni 个
ni 听
ni 個
ni 那
ni 尼
nimi 名
nimi 字
nimi 击
nimi 称
nimi 吝
noka 足
noka 儿
o 令
o お
o 嗚
o 於
o 哎
o 请
o 兮
o 区
o 忇
o 叫
olin 愛
olin 爱
olin 怂
ona 彼
ona 他
ona 其
ona 伊
ona 亻
ona 它
ona 佢
open 開
open 开
open 始
open 冂
pakala 破
pakala 打
pakala 崩
pakala 毁
pakala 敗
pakala 損
pakala 改
pakala 中
pakala 壊
pakala 列
pali 作
pali 工
pali 为
pali 爲
pali 尺
pali 為
palisa 枝
palisa 杖
palisa 支
palisa 棒
palisa 笞
palisa 棍
palisa 竿
palisa 条
palisa 亅
pan 米
pan 禾
pan 打
pan 穀
pan 扌
pan 麦
pana 予
pana 授
pana 给
pana 出
pana 施
pana 发
pana 叭
pana 呉
pana 与
pana 給
pi 之
pi 的
pi ぴ
pi 丨
pi π
pilin 心
pilin 感
pilin 想
pilin 以
pilin 情
pimeja 黑
pimeja 黒
pimeja 昃
pimeja 暗
pimeja 玄
pini 終
pini 末
pini 了
pini 闭
pini 竟
pini 冄
